snapshot_id,floor_id,modality,mean,max,slope,variance,zScoreVsHistory,label
snapshot_0001,floor_1,CO2,793.6088,922.1297,0.252,128.3648,5.7268,FireSmoke
snapshot_0001,floor_1,Smoke,0.029,0.063,-0.015,0.0378,0.902,FireSmoke
snapshot_0001,floor_1,Temperature,23.9699,26.2283,0.2079,2.7264,1.6416,FireSmoke
snapshot_0001,floor_1,Smoke,0.1892,0.2109,0.4001,0.0271,16.9207,FireSmoke
snapshot_0001,floor_1,CO2,586.0753,729.2853,0.083,139.9598,2.2679,FireSmoke
snapshot_0001,floor_1,Power,0.4603,0.4909,0.0652,0.2738,0.4022,FireSmoke
snapshot_0001,floor_1,Motion,0.2119,0.8374,-0.1271,0.1628,0.6191,FireSmoke
snapshot_0001,floor_1,Smoke,0.0334,0.0558,0.1266,0.0162,1.3354,FireSmoke
snapshot_0001,floor_1,CO2,620.1198,653.4572,0.1486,125.0247,2.8353,FireSmoke
snapshot_0001,floor_1,Temperature,23.0085,24.1667,0.061,2.1434,0.8404,FireSmoke
snapshot_0001,floor_1,Power,0.2189,0.7632,0.1816,0.2777,-1.2071,FireSmoke
snapshot_0001,floor_1,Humidity,62.3596,73.2998,0.0753,16.3137,3.4719,FireSmoke
snapshot_0001,floor_1,Motion,0.0759,0.4739,-0.0609,0.1824,-0.7412,FireSmoke
snapshot_0001,floor_1,Smoke,0.096,0.1078,-0.0449,0.0335,7.5994,FireSmoke
snapshot_0001,floor_1,CO2,656.7696,738.1196,-0.0798,257.2537,3.4462,FireSmoke
snapshot_0001,floor_1,Temperature,27.5906,27.8812,-0.0045,3.8408,4.6589,FireSmoke
snapshot_0001,floor_1,Power,0.0821,0.4593,0.1895,0.4403,-2.1195,FireSmoke
snapshot_0001,floor_1,Smoke,0.1245,0.1495,-0.1141,0.0176,10.4509,FireSmoke
snapshot_0001,floor_1,Humidity,45.9029,53.0902,0.1561,11.9639,0.1806,FireSmoke
snapshot_0001,floor_1,Smoke,0.1002,0.1097,-0.1125,0.0235,8.0227,FireSmoke
snapshot_0001,floor_1,CO2,452.0854,613.289,0.0158,135.8112,0.0348,FireSmoke
snapshot_0001,floor_1,Temperature,23.919,28.9895,0.1748,2.7703,1.5991,FireSmoke
snapshot_0001,floor_1,Power,0.1478,0.4104,0.0269,0.3122,-1.6816,FireSmoke
snapshot_0001,floor_1,Motion,0.0561,0.3212,0.2879,0.2944,-0.939,FireSmoke
snapshot_0001,floor_1,Humidity,39.3838,50.0824,0.1031,14.8074,-1.1232,FireSmoke
snapshot_0002,floor_2,CO2,424.0592,587.6585,0.051,175.0432,-0.4323,HVACFault
snapshot_0002,floor_2,Motion,0.1864,0.1875,-0.0942,0.2122,0.3638,HVACFault
snapshot_0002,floor_2,Temperature,22.9251,26.0227,-0.0974,1.2278,0.7709,HVACFault
snapshot_0002,floor_2,Power,0.315,1.0307,0.0449,0.434,-0.5668,HVACFault
snapshot_0002,floor_2,Motion,0.2111,0.2776,0.0755,0.2137,0.6107,HVACFault
snapshot_0002,floor_2,Humidity,50.1268,50.6419,-0.2325,7.4882,1.0254,HVACFault
snapshot_0002,floor_2,Temperature,26.0752,28.9629,-0.1122,2.8392,3.396,HVACFault
snapshot_0002,floor_2,Humidity,66.4989,69.5335,-0.1399,11.4742,4.2998,HVACFault
snapshot_0002,floor_2,Motion,0.1769,0.3355,-0.0136,0.2751,0.2687,HVACFault
snapshot_0002,floor_2,Smoke,0.0641,0.0755,0.0385,0.0229,4.4101,HVACFault
snapshot_0002,floor_2,CO2,312.7348,404.7017,-0.0118,128.0725,-2.2878,HVACFault
snapshot_0002,floor_2,Power,0.2358,0.8363,0.055,0.3354,-1.0946,HVACFault
snapshot_0002,floor_2,Smoke,0.0405,0.0601,0.0441,0.03,2.0528,HVACFault
snapshot_0002,floor_2,Humidity,35.8449,45.2656,-0.1975,13.0499,-1.831,HVACFault
snapshot_0002,floor_2,CO2,665.1389,845.8663,0.2011,111.9593,3.5856,HVACFault
snapshot_0002,floor_2,Power,0.3896,0.4527,-0.026,0.3363,-0.0695,HVACFault
snapshot_0002,floor_2,Temperature,27.187,27.3419,0.0346,2.067,4.3225,HVACFault
snapshot_0002,floor_2,Humidity,58.3482,59.7204,0.3406,11.409,2.6696,HVACFault
snapshot_0002,floor_2,Power,0.1453,0.3594,0.1419,0.3004,-1.6981,HVACFault
snapshot_0002,floor_2,Motion,-0.1903,-0.0629,-0.0499,0.1291,-3.4027,HVACFault
snapshot_0002,floor_2,CO2,292.9639,406.279,0.3019,180.5029,-2.6173,HVACFault
snapshot_0002,floor_2,Smoke,0.016,0.0286,-0.0857,0.0281,-0.4013,HVACFault
snapshot_0002,floor_2,Temperature,20.9318,21.6667,0.3332,3.2614,-0.8902,HVACFault
snapshot_0002,floor_2,Smoke,0.0199,0.036,-0.1526,0.0217,-0.012,HVACFault
snapshot_0002,floor_2,Power,-0.191,0.0081,-0.193,0.3265,-3.9403,HVACFault
snapshot_0002,floor_2,CO2,620.0735,932.5906,0.3002,158.6243,2.8346,HVACFault
snapshot_0002,floor_2,Motion,-0.478,-0.3998,0.23,0.2144,-6.2797,HVACFault
snapshot_0002,floor_2,Humidity,40.6858,44.5656,-0.2917,11.1498,-0.8628,HVACFault
snapshot_0002,floor_2,CO2,638.8263,744.4112,-0.0109,89.3189,3.1471,HVACFault
snapshot_0002,floor_2,Motion,0.0434,0.358,-0.2035,0.1964,-1.0661,HVACFault
snapshot_0002,floor_2,Temperature,24.045,25.9107,0.0958,3.2695,1.7042,HVACFault
snapshot_0002,floor_2,Power,0.7136,1.4667,0.1246,0.315,2.0904,HVACFault
snapshot_0002,floor_2,Humidity,72.3066,72.8682,0.2308,10.233,5.4613,HVACFault
snapshot_0002,floor_2,CO2,600.2054,712.3295,0.1116,133.0421,2.5034,HVACFault
snapshot_0002,floor_2,Smoke,0.0276,0.0935,0.0827,0.0222,0.7642,HVACFault
snapshot_0002,floor_2,Temperature,21.5318,24.5453,0.1043,1.5294,-0.3902,HVACFault
snapshot_0002,floor_2,Power,0.7433,1.1809,-0.0413,0.2507,2.2884,HVACFault
snapshot_0002,floor_2,Motion,0.1378,0.2104,-0.0646,0.192,-0.1222,HVACFault
snapshot_0002,floor_2,Temperature,21.8469,27.0094,0.1031,1.9075,-0.1276,HVACFault
snapshot_0002,floor_2,Humidity,36.0316,49.2405,-0.1928,14.5365,-1.7937,HVACFault
snapshot_0002,floor_2,Power,0.3873,0.6007,-0.0654,0.3473,-0.0848,HVACFault
snapshot_0002,floor_2,Motion,0.4155,0.7123,-0.1033,0.245,2.6546,HVACFault
snapshot_0002,floor_2,CO2,729.3587,794.7928,-0.0963,92.7343,4.656,HVACFault
snapshot_0003,floor_3,Smoke,-0.0053,0.0469,-0.0352,0.0256,-2.5317,Normal
snapshot_0003,floor_3,Motion,0.4254,0.4521,-0.1252,0.1894,2.7535,Normal
snapshot_0003,floor_3,Temperature,19.1627,22.8464,0.214,3.0968,-2.3644,Normal
snapshot_0003,floor_3,CO2,434.8073,556.9379,0.042,126.1649,-0.2532,Normal
snapshot_0003,floor_3,Power,0.6256,1.0592,-0.0034,0.2482,1.5037,Normal
snapshot_0003,floor_3,Humidity,25.8469,34.9892,0.049,19.3663,-3.8306,Normal
snapshot_0003,floor_3,Motion,0.3631,0.5207,-0.0761,0.2443,2.131,Normal
snapshot_0003,floor_3,Temperature,22.9766,25.384,-0.0289,1.6786,0.8138,Normal
snapshot_0003,floor_3,Power,0.0399,0.1219,0.1547,0.4838,-2.401,Normal
snapshot_0003,floor_3,CO2,450.363,692.9565,0.0831,111.3719,0.006,Normal
snapshot_0003,floor_3,Motion,0.2819,0.6594,0.0346,0.117,1.3187,Normal
snapshot_0003,floor_3,Smoke,0.0351,0.0508,-0.043,0.0173,1.5109,Normal
snapshot_0003,floor_3,Humidity,68.1655,79.667,-0.0682,8.6953,4.6331,Normal
snapshot_0003,floor_3,Temperature,23.0771,24.8613,0.12,1.9019,0.8976,Normal
snapshot_0003,floor_3,CO2,529.3131,641.2467,-0.0825,204.3135,1.3219,Normal
snapshot_0003,floor_3,Motion,0.3657,0.5005,0.0836,0.0393,2.1573,Normal
snapshot_0003,floor_3,Power,0.913,1.2574,-0.0911,0.2133,3.4203,Normal
snapshot_0003,floor_3,Motion,0.0314,0.048,0.0412,0.2166,-1.1863,Normal
snapshot_0003,floor_3,CO2,524.7943,620.7773,0.0871,146.6113,1.2466,Normal
snapshot_0003,floor_3,Smoke,0.0083,0.0164,-0.171,0.0146,-1.1744,Normal
snapshot_0003,floor_3,Temperature,20.3984,22.4518,-0.1853,2.5675,-1.3346,Normal
snapshot_0003,floor_3,Power,0.8513,1.0078,-0.053,0.1293,3.0089,Normal
snapshot_0003,floor_3,Motion,-0.1503,-0.0846,-0.0081,0.3136,-3.0029,Normal
snapshot_0003,floor_3,Temperature,21.5304,21.9743,0.0142,2.8368,-0.3913,Normal
snapshot_0003,floor_3,Humidity,41.6548,48.9199,0.1322,14.579,-0.669,Normal
snapshot_0003,floor_3,Smoke,0.0199,0.0546,0.1341,0.022,-0.0144,Normal
snapshot_0003,floor_3,Power,0.0729,0.6692,-0.0133,0.3393,-2.1804,Normal
snapshot_0003,floor_3,Motion,-0.0794,0.0297,-0.2276,0.2369,-2.2941,Normal
snapshot_0003,floor_3,Temperature,20.4579,23.8616,0.0041,3.952,-1.2851,Normal
snapshot_0003,floor_3,CO2,425.793,434.4678,-0.2069,97.8961,-0.4034,Normal
snapshot_0003,floor_3,Smoke,0.0409,0.0421,-0.0892,0.0242,2.086,Normal
snapshot_0003,floor_3,Power,0.5067,0.6852,-0.1326,0.3144,0.7112,Normal
snapshot_0003,floor_3,Motion,0.372,0.3958,0.0602,0.3055,2.2205,Normal
snapshot_0003,floor_3,Humidity,34.0735,40.8096,0.0697,9.2889,-2.1853,Normal
snapshot_0003,floor_3,Power,-0.0134,0.0679,0.0116,0.4834,-2.7557,Normal
snapshot_0003,floor_3,Humidity,33.8748,61.1201,0.217,14.5876,-2.225,Normal
snapshot_0003,floor_3,CO2,467.3359,474.7045,-0.0026,109.333,0.2889,Normal
snapshot_0003,floor_3,Motion,0.3841,0.8523,0.1088,0.3181,2.3413,Normal
snapshot_0003,floor_3,Smoke,0.0221,0.0338,0.1318,0.0357,0.2121,Normal
snapshot_0003,floor_3,Humidity,54.2004,79.7088,-0.0609,3.7767,1.8401,Normal
snapshot_0003,floor_3,Temperature,22.9205,23.103,0.1256,2.5605,0.7671,Normal
snapshot_0003,floor_3,CO2,305.7671,322.4822,0.0541,279.8647,-2.4039,Normal
snapshot_0003,floor_3,Power,0.3453,0.5326,-0.1513,0.0844,-0.365,Normal
snapshot_0003,floor_3,Smoke,0.044,0.0493,-0.0246,0.019,2.4024,Normal
snapshot_0003,floor_3,CO2,408.75,638.6428,0.0222,118.0948,-0.6875,Normal
snapshot_0003,floor_3,Power,0.4875,0.832,-0.0438,0.411,0.5834,Normal
snapshot_0003,floor_3,Temperature,19.3931,21.4501,-0.0545,3.2216,-2.1724,Normal
snapshot_0003,floor_3,Motion,0.5372,0.6152,0.0291,0.27,3.8716,Normal
snapshot_0003,floor_3,Humidity,66.0813,67.1341,-0.1523,13.9887,4.2163,Normal
snapshot_0003,floor_3,Temperature,20.8261,21.7546,-0.126,1.8545,-0.9783,Normal
snapshot_0003,floor_3,Smoke,-0.0211,-0.0066,-0.1119,0.0238,-4.1127,Normal
snapshot_0003,floor_3,Motion,-0.2427,-0.1699,-0.2162,0.1539,-3.9275,Normal
snapshot_0003,floor_3,Power,-0.1824,-0.0449,0.0985,0.1883,-3.8827,Normal
snapshot_0003,floor_3,Humidity,51.1952,52.656,0.025,13.3685,1.239,Normal
snapshot_0003,floor_3,Temperature,18.9449,19.7918,0.101,3.017,-2.5459,Normal
snapshot_0003,floor_3,Humidity,65.3486,67.7485,-0.1278,13.1581,4.0697,Normal
snapshot_0003,floor_3,CO2,380.1381,422.3617,0.1179,87.3411,-1.1644,Normal
snapshot_0003,floor_3,Temperature,25.1577,25.5202,0.054,3.1972,2.6314,Normal
snapshot_0003,floor_3,Power,1.1264,1.2108,-0.0974,0.3332,4.8429,Normal
snapshot_0003,floor_3,Smoke,-0.0067,0.0039,-0.0293,0.0213,-2.6713,Normal
snapshot_0003,floor_3,Humidity,38.1744,39.8709,-0.1658,13.2556,-1.3651,Normal
snapshot_0004,floor_4,CO2,243.3692,322.3974,-0.0072,192.2499,-3.4438,HVACFault
snapshot_0004,floor_4,Motion,-0.3229,-0.3204,-0.2044,0.2705,-4.7292,HVACFault
snapshot_0004,floor_4,Smoke,0.0241,0.0325,-0.0141,0.0219,0.4058,HVACFault
snapshot_0004,floor_4,Motion,0.2197,0.3301,-0.121,0.1532,0.6967,HVACFault
snapshot_0004,floor_4,Smoke,0.0143,0.035,-0.0884,0.0199,-0.5688,HVACFault
snapshot_0004,floor_4,Power,0.4585,0.4779,0.0862,0.4476,0.3898,HVACFault
snapshot_0004,floor_4,Temperature,18.4381,19.9458,-0.1499,2.6067,-2.9683,HVACFault
snapshot_0004,floor_4,Humidity,50.3427,60.1356,-0.2257,16.1578,1.0685,HVACFault
snapshot_0004,floor_4,CO2,647.6021,661.7113,0.0487,207.0325,3.2934,HVACFault
snapshot_0004,floor_4,Humidity,46.88,48.4629,0.077,5.733,0.376,HVACFault
snapshot_0004,floor_4,Motion,0.3314,0.8257,-0.0762,0.1104,1.8139,HVACFault
snapshot_0004,floor_4,Power,0.1661,0.8753,-0.1487,0.1129,-1.559,HVACFault
snapshot_0004,floor_4,Temperature,27.1568,27.3637,0.3518,3.3241,4.2973,HVACFault
snapshot_0004,floor_4,Smoke,0.0431,0.047,-0.1266,0.0093,2.3079,HVACFault
snapshot_0004,floor_4,Motion,0.4368,0.5234,0.1416,0.2066,2.8679,HVACFault
snapshot_0004,floor_4,Power,0.2741,0.7876,0.0746,0.3613,-0.8391,HVACFault
snapshot_0004,floor_4,Humidity,35.1479,48.5857,-0.0923,4.7335,-1.9704,HVACFault
snapshot_0004,floor_4,Power,0.8605,0.9126,-0.188,0.3355,3.0701,HVACFault
snapshot_0004,floor_4,Smoke,0.024,0.0595,0.0942,0.0185,0.3989,HVACFault
snapshot_0004,floor_4,Humidity,26.5727,26.7609,-0.1342,14.8362,-3.6855,HVACFault
snapshot_0004,floor_4,Motion,0.5485,0.704,-0.0235,0.2296,3.9848,HVACFault
snapshot_0004,floor_4,Smoke,0.0112,0.0221,-0.0829,0.0231,-0.8832,HVACFault
snapshot_0004,floor_4,CO2,338.2621,591.5623,-0.1835,232.5246,-1.8623,HVACFault
snapshot_0004,floor_4,CO2,608.9599,750.2412,0.0113,95.9634,2.6493,HVACFault
snapshot_0004,floor_4,Power,0.3364,0.4703,0.0048,0.3902,-0.4239,HVACFault
snapshot_0004,floor_4,Humidity,30.0445,46.8251,0.1894,9.7919,-2.9911,HVACFault
snapshot_0004,floor_4,Smoke,0.0434,0.0811,0.1355,0.0197,2.34,HVACFault
snapshot_0004,floor_4,CO2,415.0345,484.3711,0.37,78.0029,-0.5828,HVACFault
snapshot_0004,floor_4,Humidity,41.7108,52.9374,0.178,12.1134,-0.6578,HVACFault
snapshot_0004,floor_4,Motion,0.4237,0.6076,0.0665,0.1916,2.7366,HVACFault
snapshot_0004,floor_4,Power,0.3373,0.3976,0.1035,0.3014,-0.4183,HVACFault
snapshot_0004,floor_4,Temperature,24.4305,27.9752,0.3038,2.2213,2.0254,HVACFault
snapshot_0004,floor_4,Smoke,0.0054,0.0603,-0.2001,0.0204,-1.4613,HVACFault
snapshot_0004,floor_4,Power,-0.0299,0.2587,0.1081,0.3131,-2.866,HVACFault
snapshot_0004,floor_4,CO2,452.5339,504.2702,0.2119,151.2873,0.0422,HVACFault
snapshot_0004,floor_4,Humidity,36.9252,61.2963,0.0088,13.0962,-1.615,HVACFault
snapshot_0005,floor_5,Power,0.6421,0.7989,0.0053,0.2958,1.6139,FireSmoke
snapshot_0005,floor_5,Motion,0.1995,0.2217,0.098,0.1852,0.4952,FireSmoke
snapshot_0005,floor_5,CO2,495.655,534.4883,0.0091,166.7008,0.7609,FireSmoke
snapshot_0005,floor_5,Smoke,-0.0106,0.0259,-0.0009,0.0313,-3.0647,FireSmoke
snapshot_0005,floor_5,Humidity,34.2442,35.1598,-0.0653,8.8701,-2.1512,FireSmoke
snapshot_0005,floor_5,Temperature,24.2584,25.3706,-0.0225,3.2095,1.882,FireSmoke
snapshot_0005,floor_5,Smoke,0.0184,0.0209,-0.0174,0.0331,-0.1628,FireSmoke
snapshot_0005,floor_5,Motion,0.2832,0.7077,0.0562,0.1517,1.3324,FireSmoke
snapshot_0005,floor_5,Temperature,20.1601,23.2732,-0.2474,3.7734,-1.5332,FireSmoke
snapshot_0005,floor_5,CO2,333.8495,522.5687,0.0485,141.9892,-1.9358,FireSmoke
snapshot_0005,floor_5,Humidity,50.1668,57.1297,0.0289,14.7148,1.0334,FireSmoke
snapshot_0005,floor_5,Power,0.2725,0.2989,-0.0732,0.2055,-0.8497,FireSmoke
snapshot_0005,floor_5,Smoke,0.0249,0.0313,-0.0612,0.016,0.4879,FireSmoke
snapshot_0005,floor_5,CO2,757.3612,830.1844,0.1982,180.2897,5.1227,FireSmoke
snapshot_0005,floor_5,Motion,0.5468,1.0316,-0.1898,0.1527,3.9683,FireSmoke
snapshot_0005,floor_5,Humidity,43.7661,55.4015,-0.0081,12.3301,-0.2468,FireSmoke
snapshot_0005,floor_5,Power,0.226,0.5722,0.006,0.5537,-1.1597,FireSmoke
snapshot_0005,floor_5,Humidity,45.5762,55.0918,0.0595,12.4857,0.1152,FireSmoke
snapshot_0005,floor_5,Smoke,-0.002,0.0341,0.2332,0.0327,-2.203,FireSmoke
snapshot_0005,floor_5,CO2,535.5466,688.2882,0.0178,215.2904,1.4258,FireSmoke
snapshot_0005,floor_5,Power,0.7315,1.3364,-0.1093,0.3345,2.21,FireSmoke
snapshot_0005,floor_5,Motion,0.2426,0.2601,0.1989,0.0603,0.9264,FireSmoke
snapshot_0005,floor_5,Humidity,47.307,58.2878,-0.0177,11.9936,0.4614,FireSmoke
snapshot_0005,floor_5,Temperature,23.4032,24.2366,0.056,1.2364,1.1694,FireSmoke
snapshot_0005,floor_5,CO2,659.4959,772.2518,-0.1572,137.6381,3.4916,FireSmoke
snapshot_0005,floor_5,Motion,0.2322,0.756,-0.0768,0.1741,0.8225,FireSmoke
snapshot_0005,floor_5,Smoke,-0.0052,0.0335,0.1028,0.0241,-2.523,FireSmoke
snapshot_0005,floor_5,Smoke,0.0789,0.0873,-0.0154,0.0159,5.8917,FireSmoke
snapshot_0005,floor_5,Humidity,56.652,57.4838,0.1292,4.8501,2.3304,FireSmoke
snapshot_0005,floor_5,Power,0.5023,0.6957,-0.2767,0.3207,0.6818,FireSmoke
snapshot_0005,floor_5,CO2,550.0382,783.1141,-0.0878,110.791,1.6673,FireSmoke
snapshot_0005,floor_5,Temperature,28.9508,29.5251,0.0626,2.1007,5.7923,FireSmoke
snapshot_0005,floor_5,Smoke,0.1635,0.1764,0.1014,0.0173,14.3457,FireSmoke
snapshot_0005,floor_5,CO2,466.1531,511.2145,0.3037,137.0614,0.2692,FireSmoke
snapshot_0005,floor_5,Power,0.5444,0.8175,0.0532,0.283,0.9629,FireSmoke
snapshot_0005,floor_5,Motion,0.4172,0.4392,0.0225,0.3007,2.6724,FireSmoke
snapshot_0005,floor_5,Temperature,26.4116,27.6468,0.1981,3.3018,3.6763,FireSmoke
snapshot_0005,floor_5,Humidity,46.0569,56.2602,0.15,7.5435,0.2114,FireSmoke
snapshot_0005,floor_5,Motion,0.064,0.4685,0.1224,0.332,-0.86,FireSmoke
snapshot_0005,floor_5,Smoke,0.0567,0.0951,0.1948,0.0335,3.6719,FireSmoke
snapshot_0005,floor_5,CO2,213.9201,242.9804,-0.0793,114.5285,-3.9347,FireSmoke
snapshot_0005,floor_5,Power,0.7532,0.8651,-0.2705,0.4015,2.3544,FireSmoke
snapshot_0005,floor_5,Temperature,23.2017,23.6732,-0.0092,3.2305,1.0014,FireSmoke
snapshot_0005,floor_5,Humidity,38.872,44.9792,-0.0844,17.5494,-1.2256,FireSmoke
snapshot_0005,floor_5,Smoke,0.0452,0.0482,0.0278,0.0258,2.5192,FireSmoke
snapshot_0005,floor_5,CO2,487.6718,692.2494,-0.0046,186.844,0.6279,FireSmoke
snapshot_0005,floor_5,Humidity,44.2846,48.3448,-0.2226,5.25,-0.1431,FireSmoke
snapshot_0005,floor_5,Power,0.9387,1.2132,0.0578,0.168,3.5915,FireSmoke
snapshot_0005,floor_5,Motion,0.2311,0.4314,-0.0271,0.2765,0.8107,FireSmoke
snapshot_0005,floor_5,Humidity,49.2404,53.8824,0.0149,11.0047,0.8481,FireSmoke
snapshot_0005,floor_5,CO2,648.4356,840.1772,-0.0104,116.4093,3.3073,FireSmoke
snapshot_0005,floor_5,Temperature,24.1928,26.6492,0.2558,3.0901,1.8273,FireSmoke
snapshot_0005,floor_5,Motion,-0.0335,0.3541,-0.1295,0.2024,-1.8346,FireSmoke
snapshot_0005,floor_5,Temperature,22.2283,23.0617,-0.0183,2.4562,0.1903,FireSmoke
snapshot_0005,floor_5,Smoke,-0.0103,-0.0058,-0.0566,0.0188,-3.03,FireSmoke
snapshot_0005,floor_5,Humidity,31.3846,34.8496,0.1374,12.4762,-2.7231,FireSmoke
snapshot_0005,floor_5,CO2,698.1918,782.1979,-0.0138,210.8995,4.1365,FireSmoke
snapshot_0005,floor_5,Motion,0.1235,0.1614,-0.0782,0.2757,-0.2653,FireSmoke
snapshot_0005,floor_5,Smoke,0.0182,0.0184,0.0796,0.0166,-0.1772,FireSmoke
snapshot_0005,floor_5,Motion,-0.265,0.1062,-0.0422,0.3733,-4.1503,FireSmoke
snapshot_0005,floor_5,Humidity,65.5237,67.2237,0.0679,7.3536,4.1047,FireSmoke
snapshot_0005,floor_5,Power,-0.0943,0.3034,-0.0634,0.4059,-3.2954,FireSmoke
snapshot_0005,floor_5,Power,-0.0942,0.8406,0.0804,0.3252,-3.2949,FireSmoke
snapshot_0005,floor_5,CO2,398.1851,602.4431,-0.0483,78.6597,-0.8636,FireSmoke
snapshot_0005,floor_5,Humidity,54.6679,59.6694,0.1298,8.5043,1.9336,FireSmoke
snapshot_0006,floor_6,CO2,352.0354,546.4487,-0.056,142.7773,-1.6327,FireSmoke
snapshot_0006,floor_6,Humidity,29.083,39.1629,-0.0646,14.9435,-3.1834,FireSmoke
snapshot_0006,floor_6,Motion,0.08,0.2038,0.0662,0.3331,-0.7004,FireSmoke
snapshot_0006,floor_6,Temperature,23.6353,27.0142,0.1453,3.3972,1.3628,FireSmoke
snapshot_0006,floor_6,CO2,538.3649,768.8044,0.2819,163.6583,1.4727,FireSmoke
snapshot_0006,floor_6,Temperature,27.8321,28.2984,0.081,1.4327,4.8601,FireSmoke
snapshot_0006,floor_6,Humidity,49.6663,55.4092,-0.1768,19.82,0.9333,FireSmoke
snapshot_0006,floor_6,Smoke,0.0039,0.0338,0.1218,0.0324,-1.6052,FireSmoke
snapshot_0006,floor_6,Motion,0.0972,0.1152,-0.009,0.1599,-0.5277,FireSmoke
snapshot_0006,floor_6,Smoke,-0.0051,0.0102,-0.0078,0.028,-2.5071,FireSmoke
